,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
114,INTRO,DaBaby,851973,https://open.spotify.com/track/05WepN8vrMLJG5r8XRdLeL
115,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,850024,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
116,I'm Gonna Be,Post Malone,848083,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
117,Allergic,Post Malone,845904,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
118,Baila Conmigo (feat. Kelly Ruiz),Dayvi,843869,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
119,Staring At The Sun (feat. SZA),Post Malone,827643,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
120,Lucid Dreams,Juice WRLD,822567,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
121,Rescue Me,OneRepublic,822558,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
122,Let Me Down Slowly,Alec Benjamin,819017,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
123,Don't Call Me Up,Mabel,815095,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
124,Cuaderno,Dalex,813257,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
125,Bad Bad Bad (feat. Lil Baby),Young Thug,811188,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
126,Feelings,Lauv,810578,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
127,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,807578,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
128,Youngblood,5 Seconds of Summer,805074,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
129,Love Me,Lil Tecca,804061,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
130,High Hopes,Panic! At The Disco,803776,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
131,The Git Up,Blanco Brown,803542,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
132,goosebumps,Travis Scott,803456,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
133,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,803098,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
134,Tal Vez,Paulo Londra,800095,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
135,Don't Stop Me Now - Remastered,Queen,795521,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
136,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,793869,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
137,Pa Mí - Remix,Dalex,791045,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
138,Only Human,Jonas Brothers,790697,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
139,Perfect,Ed Sheeran,788920,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
140,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,785291,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
141,Quizás,Rich Music LTD,784664,https://open.spotify.com/track/4AjWbAwRpxk2worpjNH5CS
142,SAD!,XXXTENTACION,783087,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
143,Te Quemaste,Manuel Turizo,779186,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
144,Adriana,RAF Camora,774690,https://open.spotify.com/track/4G3gFk4oyvt8klQEVJBzea
145,bad guy (with Justin Bieber),Billie Eilish,773855,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
146,bury a friend,Billie Eilish,773760,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
147,I Like Me Better,Lauv,770761,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
148,Say You Won't Let Go,James Arthur,765169,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
149,comethru,Jeremy Zucker,763381,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
150,Better,Khalid,758382,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
151,F.N,Lil Tjay,758269,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
152,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,756897,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
153,Another One Bites The Dust - Remastered 2011,Queen,756362,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
154,all the good girls go to hell,Billie Eilish,755987,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
155,Call You Mine,The Chainsmokers,754059,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
156,Moonlight,XXXTENTACION,749953,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
157,MIDDLE CHILD,J. Cole,748805,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
158,Runaway,Sebastian Yatra,746742,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
159,SOS (feat. Aloe Blacc),Avicii,745423,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
160,Atrévete,Nicky Jam,741249,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
161,Be Alright,Dean Lewis,737963,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
162,2002,Anne-Marie,736302,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
163,Thunder,Imagine Dragons,735886,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
